Genesymbol	miRNA	Cancertype	Targetsiteclass
SYK	hsa-miR-5585-5p	"LiverCancer(RIKEN,JP)"	Created
SYK	hsa-miR-5585-5p	"LiverCancer(RIKEN,JP)"	Created
AFF4	hsa-miR-142-5p	"LiverCancer(RIKEN,JP)"	Created
WHSC1	hsa-miR-15a-5p	"LiverCancer(NCC,JP)"	Created
CCND2	hsa-miR-4652-5p	"LiverCancer(RIKEN,JP)"	Disrupted
GFI1	hsa-miR-298	"LiverCancer(NCC,JP)"	Created
GFI1	hsa-miR-298	"LiverCancer(NCC,JP)"	Created
GFI1	hsa-miR-298	"LiverCancer(NCC,JP)"	Created
NET1	hsa-miR-644b-3p	"LiverCancer(RIKEN,JP)"	Disrupted
NET1	hsa-miR-644b-3p	"LiverCancer(RIKEN,JP)"	Disrupted
KRAS	hsa-miR-552	"LiverCancer(RIKEN,JP)"	Created
PAX3	hsa-miR-3915	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
USP4	hsa-miR-770-5p	"ProstateCancer(OICR,CA)"	Created
RUNX1	hsa-miR-1278	"LiverCancer(RIKEN,JP)"	Created
RUNX1	hsa-miR-1278	"LiverCancer(RIKEN,JP)"	Created
RARA	hsa-miR-770-5p	"LiverCancer(NCC,JP)"	Created
RARA	hsa-miR-770-5p	"LiverCancer(NCC,JP)"	Created
RARA	hsa-miR-770-5p	"LiverCancer(NCC,JP)"	Created
RARA	hsa-miR-770-5p	"LiverCancer(NCC,JP)"	Created
TCTA	hsa-miR-302e	"ProstateCancer(OICR,CA)"	Created
MDM2	hsa-miR-4684-5p	"ProstateCancer(OICR,CA)"	Created
WHSC1	hsa-miR-532-5p	"LiverCancer(RIKEN,JP)"	Created
WHSC1	hsa-miR-532-5p	"LiverCancer(RIKEN,JP)"	Created
TAL1	hsa-miR-4755-3p	"LiverCancer(RIKEN,JP)"	Created
PDGFD	hsa-miR-376a-3p	"LiverCancer(RIKEN,JP)"	Created
PDGFD	hsa-miR-376a-3p	"LiverCancer(RIKEN,JP)"	Created
CARS	hsa-miR-1276	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
CARS	hsa-miR-1276	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
JAK2	hsa-miR-129-5p	"LiverCancer(NCC,JP)"	Created
PSMD10	hsa-miR-3143	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
TCTA	hsa-miR-372	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106a-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-17-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106a-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-17-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106a-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-17-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106a-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-17-5p	"ProstateCancer(OICR,CA)"	Created
THRB	hsa-miR-4497	"LiverCancer(RIKEN,JP)"	Created
THRB	hsa-miR-4497	"LiverCancer(RIKEN,JP)"	Created
THRB	hsa-miR-4497	"LiverCancer(RIKEN,JP)"	Created
THRB	hsa-miR-4497	"LiverCancer(RIKEN,JP)"	Created
FGFR2	hsa-miR-323b-3p	"GastricCancer(CCGC,CN)"	Created
FGFR2	hsa-miR-323b-3p	"GastricCancer(CCGC,CN)"	Created
FGFR2	hsa-miR-323b-3p	"GastricCancer(CCGC,CN)"	Created
FGFR2	hsa-miR-323b-3p	"GastricCancer(CCGC,CN)"	Created
FGFR2	hsa-miR-323b-3p	"GastricCancer(CCGC,CN)"	Created
FGFR2	hsa-miR-323b-3p	"GastricCancer(CCGC,CN)"	Created
FOXO1	hsa-miR-607	"LiverCancer(NCC,JP)"	Created
HRAS	hsa-miR-1281	"LiverCancer(NCC,JP)"	Created
HRAS	hsa-miR-1281	"LiverCancer(NCC,JP)"	Created
USP4	hsa-miR-4284	"ProstateCancer(OICR,CA)"	Created
TCTA	hsa-miR-93-5p	"ProstateCancer(OICR,CA)"	Created
PAX7	hsa-miR-2681-3p	"LiverCancer(RIKEN,JP)"	Created
WHSC1	hsa-miR-497-5p	"LiverCancer(NCC,JP)"	Created
PAX5	hsa-miR-3148	"LiverCancer(RIKEN,JP)"	Created
SPECC1	hsa-miR-4296	"LiverCancer(NCC,JP)"	Created
SPECC1	hsa-miR-4296	"LiverCancer(NCC,JP)"	Created
SPECC1	hsa-miR-4296	"LiverCancer(NCC,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4515	"LiverCancer(RIKEN,JP)"	Created
WDR11	hsa-miR-4679	"GastricCancer(CCGC,CN)"	Created
REL	hsa-miR-143-5p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302d-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302d-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302d-3p	"ProstateCancer(OICR,CA)"	Created
SS18	hsa-miR-30c-2-3p	"ProstateCancer(OICR,CA)"	Created
SS18	hsa-miR-30c-2-3p	"ProstateCancer(OICR,CA)"	Created
MAFB	hsa-miR-331-5p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92b-3p	"LiverCancer(RIKEN,JP)"	Created
AFF4	hsa-miR-5008-3p	"LiverCancer(RIKEN,JP)"	Created
BCAS3	hsa-miR-424-3p	"LiverCancer(NCC,JP)"	Created
BCAS3	hsa-miR-424-3p	"LiverCancer(NCC,JP)"	Created
GNAS	hsa-miR-545-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-545-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-764	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-764	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-4735-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
SUZ12	hsa-miR-3143	"ProstateCancer(OICR,CA)"	Created
BTG1	hsa-miR-4705	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-4740-5p	"LiverCancer(RIKEN,JP)"	Created
ERG	hsa-miR-376a-3p	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376b	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376a-3p	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376b	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376a-3p	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376b	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376a-3p	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376b	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376a-3p	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376b	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376a-3p	"LiverCancer(NCC,JP)"	Disrupted
ERG	hsa-miR-376b	"LiverCancer(NCC,JP)"	Disrupted
WHSC1	hsa-miR-634	"LiverCancer(NCC,JP)"	Created
GNAS	hsa-miR-128	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
FGF5	hsa-miR-548ak	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-637	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
FGF5	hsa-miR-649	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
WHSC1	hsa-miR-2276	"ColonAdenocarcinoma(TCGA,US)"	Created
AKT2	hsa-miR-519d	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-519d	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-519d	"ProstateCancer(OICR,CA)"	Created
ERBB3	hsa-miR-4329	"LiverCancer(RIKEN,JP)"	Created
PDGFD	hsa-miR-376b	"LiverCancer(RIKEN,JP)"	Created
PDGFD	hsa-miR-376b	"LiverCancer(RIKEN,JP)"	Created
GNAS	hsa-miR-148a-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-148b-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-152	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-128	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-148a-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-148b-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-152	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
PIK3R1	hsa-miR-1255b-2-3p	"LiverCancer(RIKEN,JP)"	Created
PIK3R1	hsa-miR-1255b-2-3p	"LiverCancer(RIKEN,JP)"	Created
PIK3R1	hsa-miR-1255b-2-3p	"LiverCancer(RIKEN,JP)"	Created
PIK3R1	hsa-miR-1255b-2-3p	"LiverCancer(RIKEN,JP)"	Created
FOXO4	hsa-miR-3138	"LiverCancer(NCC,JP)"	Created
FOXO4	hsa-miR-3138	"LiverCancer(NCC,JP)"	Created
SPECC1	hsa-miR-4654	"LiverCancer(NCC,JP)"	Created
SPECC1	hsa-miR-4654	"LiverCancer(NCC,JP)"	Created
SPECC1	hsa-miR-4654	"LiverCancer(NCC,JP)"	Created
GNAS	hsa-miR-452-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Disrupted
PAX3	hsa-miR-607	"BladderUrothelialCarcinoma(TCGA,US)"	Created
PAX3	hsa-miR-607	"BladderUrothelialCarcinoma(TCGA,US)"	Created
FGF5	hsa-miR-548a-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548a-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548ak	"ProstateCancer(OICR,CA)"	Created
AKAP13	hsa-miR-384	"LiverCancer(RIKEN,JP)"	Created
AKAP13	hsa-miR-384	"LiverCancer(RIKEN,JP)"	Created
AKT2	hsa-miR-3714	"LiverCancer(RIKEN,JP)"	Created
AKT2	hsa-miR-3714	"LiverCancer(RIKEN,JP)"	Created
AKT2	hsa-miR-3714	"LiverCancer(RIKEN,JP)"	Created
PBX1	hsa-miR-5581-5p	"LiverCancer(NCC,JP)"	Created
HOPX	hsa-miR-4682	"LiverCancer(NCC,JP)"	Created
GNAS	hsa-miR-490-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
SMAP2	hsa-miR-4798-3p	"ProstateCancer(OICR,CA)"	Disrupted
SMAP2	hsa-miR-4798-3p	"ProstateCancer(OICR,CA)"	Disrupted
SMAP2	hsa-miR-4798-3p	"ProstateCancer(OICR,CA)"	Disrupted
SMAP2	hsa-miR-4798-3p	"ProstateCancer(OICR,CA)"	Disrupted
FGF5	hsa-miR-548y	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548y	"ProstateCancer(OICR,CA)"	Created
PCM1	hsa-miR-186-3p	"ProstateCancer(OICR,CA)"	Created
CBL	hsa-miR-216b	"ProstateCancer(OICR,CA)"	Created
SS18	hsa-miR-4728-5p	"ProstateCancer(OICR,CA)"	Created
SS18	hsa-miR-4728-5p	"ProstateCancer(OICR,CA)"	Created
KDSR	hsa-miR-193b-3p	"ProstateCancer(OICR,CA)"	Disrupted
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
ABL2	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
PBX1	hsa-miR-4252	"LiverCancer(RIKEN,JP)"	Created
CBL	hsa-miR-633	"LiverCancer(RIKEN,JP)"	Disrupted
FGF5	hsa-miR-4659a-3p	"LiverCancer(RIKEN,JP)"	Created
FGF5	hsa-miR-4659a-3p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269b	"LiverCancer(RIKEN,JP)"	Created
WHSC1	hsa-miR-302b-5p	"LiverCancer(NCC,JP)"	Created
NET1	hsa-miR-3941	"ProstateCancer(OICR,CA)"	Disrupted
NET1	hsa-miR-3941	"ProstateCancer(OICR,CA)"	Disrupted
GAS7	hsa-miR-106b-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106b-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106b-5p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-106b-5p	"ProstateCancer(OICR,CA)"	Created
SPECC1	hsa-miR-508-5p	"ProstateCancer(OICR,CA)"	Created
SPECC1	hsa-miR-508-5p	"ProstateCancer(OICR,CA)"	Created
SPECC1	hsa-miR-508-5p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302b-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302b-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302b-3p	"ProstateCancer(OICR,CA)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1T1	hsa-miR-138-5p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
MECOM	hsa-miR-92a-3p	"LiverCancer(RIKEN,JP)"	Created
AFF4	hsa-miR-548at-5p	"LiverCancer(RIKEN,JP)"	Created
ERBB4	hsa-miR-29a-5p	"LiverCancer(RIKEN,JP)"	Created
ERBB4	hsa-miR-29a-5p	"LiverCancer(RIKEN,JP)"	Created
CDKN1B	hsa-miR-4693-3p	"LiverCancer(NCC,JP)"	Created
ELL	hsa-miR-1538	"LiverCancer(NCC,JP)"	Disrupted
GNAS	hsa-miR-452-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Disrupted
TCTA	hsa-miR-20b-5p	"ProstateCancer(OICR,CA)"	Created
TCTA	hsa-miR-373-3p	"ProstateCancer(OICR,CA)"	Created
TCTA	hsa-miR-526b-3p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548h-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548h-5p	"ProstateCancer(OICR,CA)"	Created
MLLT6	hsa-miR-106a-5p	"ProstateCancer(OICR,CA)"	Created
MLLT6	hsa-miR-17-5p	"ProstateCancer(OICR,CA)"	Created
MLLT6	hsa-miR-20a-5p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-373-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-520b	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-373-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-520b	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-373-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-520b	"ProstateCancer(OICR,CA)"	Created
AFF4	hsa-miR-502-3p	"LiverCancer(RIKEN,JP)"	Created
WHSC1	hsa-miR-3943	"LiverCancer(NCC,JP)"	Created
WHSC1	hsa-miR-3943	"LiverCancer(NCC,JP)"	Created
WHSC1	hsa-miR-3943	"LiverCancer(NCC,JP)"	Created
WHSC1	hsa-miR-3943	"LiverCancer(NCC,JP)"	Created
AFF1	hsa-miR-802	"LiverCancer(NCC,JP)"	Created
AFF1	hsa-miR-802	"LiverCancer(NCC,JP)"	Created
ZNF320	hsa-miR-676-3p	"LiverCancer(NCC,JP)"	Disrupted
FGF5	hsa-miR-567	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
NR4A3	hsa-miR-548n	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-4735-3p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
FGF5	hsa-miR-548ab	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548ab	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302c-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302c-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-302c-3p	"ProstateCancer(OICR,CA)"	Created
MXI1	hsa-miR-1305	"LiverCancer(RIKEN,JP)"	Disrupted
MXI1	hsa-miR-1305	"LiverCancer(RIKEN,JP)"	Disrupted
MXI1	hsa-miR-1305	"LiverCancer(RIKEN,JP)"	Disrupted
PAK7	hsa-miR-4799-5p	"LiverCancer(RIKEN,JP)"	Created
PAK7	hsa-miR-4799-5p	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
ABL2	hsa-miR-1269a	"LiverCancer(RIKEN,JP)"	Created
FOXO1	hsa-miR-3613-3p	"LiverCancer(NCC,JP)"	Created
WHSC1	hsa-miR-302d-5p	"LiverCancer(NCC,JP)"	Created
WNT5A	hsa-miR-4745-5p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
WNT5A	hsa-miR-4745-5p	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
FGF5	hsa-miR-548ap-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548d-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548l	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548ap-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548d-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548l	"ProstateCancer(OICR,CA)"	Created
PCM1	hsa-miR-519d	"ProstateCancer(OICR,CA)"	Created
SYK	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
SYK	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
SYK	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
SYK	hsa-miR-150-5p	"ProstateCancer(OICR,CA)"	Created
MLLT6	hsa-miR-4722-3p	"ProstateCancer(OICR,CA)"	Created
RNF213	hsa-miR-548s	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-4781-3p	"LiverCancer(RIKEN,JP)"	Created
FGF5	hsa-miR-4781-3p	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
FGFR1	hsa-miR-3935	"LiverCancer(RIKEN,JP)"	Created
MLL	hsa-miR-93-5p	"LiverCancer(RIKEN,JP)"	Created
MLL	hsa-miR-93-5p	"LiverCancer(RIKEN,JP)"	Created
USP4	hsa-miR-29b-2-5p	"LiverCancer(RIKEN,JP)"	Created
USP4	hsa-miR-29b-2-5p	"LiverCancer(RIKEN,JP)"	Created
FGF5	hsa-miR-4659b-3p	"LiverCancer(RIKEN,JP)"	Created
FGF5	hsa-miR-4659b-3p	"LiverCancer(RIKEN,JP)"	Created
AFF4	hsa-miR-125a-3p	"LiverCancer(NCC,JP)"	Created
AFF4	hsa-miR-3934	"LiverCancer(NCC,JP)"	Created
WHSC1	hsa-miR-4530	"LiverCancer(NCC,JP)"	Created
BCL2	hsa-miR-5579-5p	"LiverCancer(NCC,JP)"	Created
AFF4	hsa-miR-4495	"LiverCancer(NCC,JP)"	Created
WNT5A	hsa-miR-3151	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
WNT5A	hsa-miR-3151	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
PBX3	hsa-miR-4307	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
PBX3	hsa-miR-4307	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
LITAF	hsa-miR-1231	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
WISP1	hsa-miR-520d-5p	"BladderUrothelialCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-5196-3p	"BladderUrothelialCarcinoma(TCGA,US)"	Disrupted
PAX3	hsa-miR-876-5p	"BladderUrothelialCarcinoma(TCGA,US)"	Created
PAX3	hsa-miR-876-5p	"BladderUrothelialCarcinoma(TCGA,US)"	Created
PICALM	hsa-miR-335-3p	"ProstateCancer(OICR,CA)"	Created
PICALM	hsa-miR-335-3p	"ProstateCancer(OICR,CA)"	Created
PICALM	hsa-miR-335-3p	"ProstateCancer(OICR,CA)"	Created
PICALM	hsa-miR-335-3p	"ProstateCancer(OICR,CA)"	Created
TCTA	hsa-miR-204-3p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548au-5p	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548w	"ProstateCancer(OICR,CA)"	Created
FGF5	hsa-miR-548au-5p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-520a-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-520a-3p	"ProstateCancer(OICR,CA)"	Created
AKT2	hsa-miR-520a-3p	"ProstateCancer(OICR,CA)"	Created
SPECC1	hsa-miR-548c-3p	"ProstateCancer(OICR,CA)"	Created
SPECC1	hsa-miR-548c-3p	"ProstateCancer(OICR,CA)"	Created
SPECC1	hsa-miR-548c-3p	"ProstateCancer(OICR,CA)"	Created
MLLT6	hsa-miR-1976	"ProstateCancer(OICR,CA)"	Created
ARHGAP26	hsa-miR-196a-3p	"ProstateCancer(OICR,CA)"	Created
ARHGAP26	hsa-miR-196a-3p	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-3135b	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-3135b	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-3135b	"ProstateCancer(OICR,CA)"	Created
GAS7	hsa-miR-3135b	"ProstateCancer(OICR,CA)"	Created
MDM2	hsa-miR-1273g-3p	"ProstateCancer(OICR,CA)"	Created
BTG1	hsa-miR-656	"LiverCancer(RIKEN,JP)"	Created
MAF	hsa-miR-1537	"LiverCancer(RIKEN,JP)"	Created
RUNX1	hsa-miR-548av-5p	"LiverCancer(RIKEN,JP)"	Created
RUNX1	hsa-miR-548av-5p	"LiverCancer(RIKEN,JP)"	Created
ERBB4	hsa-miR-5009-3p	"LiverCancer(RIKEN,JP)"	Created
ERBB4	hsa-miR-5009-3p	"LiverCancer(RIKEN,JP)"	Created
EPS15	hsa-miR-1256	"LiverCancer(RIKEN,JP)"	Created
EPS15	hsa-miR-1256	"LiverCancer(RIKEN,JP)"	Created
WHSC1	hsa-miR-195-5p	"LiverCancer(NCC,JP)"	Created
WHSC1	hsa-miR-424-5p	"LiverCancer(NCC,JP)"	Created
GNAS	hsa-miR-3665	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-3665	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Created
WHSC1	hsa-miR-3156-3p	"ColonAdenocarcinoma(TCGA,US)"	Created
GNAS	hsa-miR-5196-3p	"BladderUrothelialCarcinoma(TCGA,US)"	Disrupted
PAX3	hsa-miR-497-3p	"BladderUrothelialCarcinoma(TCGA,US)"	Created
PAX3	hsa-miR-497-3p	"BladderUrothelialCarcinoma(TCGA,US)"	Created
